time_s,RequestScannerOn_raw,RecordScannerOn_raw,Periodicity_raw,Phase_raw,Left-Right_raw,Ant.-Post._raw,Head-Feet_raw,MarkerBlockFound_raw
0.0,0.0,0.0,64727.0,36486.0,297.0,60684.0,64313.0,0.0
0.04,0.0,0.0,62669.0,37162.0,377.0,60885.0,64374.0,0.0
0.08,0.0,0.0,64637.0,37803.0,378.0,61143.0,64460.0,0.0
0.12,0.0,0.0,64342.0,38468.0,364.0,61260.0,64486.0,0.0
0.16,0.0,0.0,62539.0,39142.0,216.0,60728.0,64307.0,0.0
0.2,0.0,0.0,62496.0,39777.0,259.0,60931.0,64407.0,0.0
0.24,0.0,0.0,62955.0,40457.0,378.0,60626.0,64317.0,0.0
0.28,0.0,0.0,61909.0,41099.0,507.0,60495.0,64289.0,0.0
0.32,0.0,0.0,60113.0,41753.0,504.0,60595.0,64369.0,0.0
0.36,0.0,0.0,61323.0,42427.0,595.0,60562.0,64419.0,0.0
0.4,0.0,0.0,61031.0,43059.0,491.0,60600.0,64511.0,0.0
0.44,0.0,0.0,59739.0,43717.0,514.0,60321.0,64489.0,0.0
0.48,0.0,0.0,58949.0,44356.0,342.0,59715.0,64380.0,0.0
0.52,0.0,0.0,59408.0,45017.0,386.0,58806.0,64224.0,0.0
0.56,0.0,0.0,58619.0,45692.0,539.0,58244.0,64244.0,0.0
0.6,0.0,0.0,56086.0,46332.0,481.0,57640.0,64254.0,0.0
0.64,0.0,0.0,51564.0,47007.0,614.0,57316.0,64429.0,0.0
0.68,0.0,0.0,51529.0,47642.0,553.0,56635.0,64500.0,0.0
0.72,0.0,0.0,49504.0,48297.0,491.0,55672.0,64544.0,0.0
0.76,0.0,0.0,45244.0,48957.0,420.0,54383.0,64549.0,0.0
0.8,0.0,0.0,46455.0,49597.0,152.0,52462.0,64396.0,0.0
0.84,0.0,0.0,45182.0,50262.0,10.0,51173.0,64548.0,0.0
0.88,0.0,0.0,42919.0,50915.0,25.0,49489.0,64591.0,0.0
0.92,0.0,0.0,35948.0,51596.0,0.0,46559.0,64254.0,0.0
0.96,0.0,0.0,32703.0,52265.0,166.0,43870.0,64091.0,0.0
1.0,0.0,0.0,32433.0,52897.0,828.0,42833.0,64557.0,0.0
1.04,0.0,0.0,30184.0,53695.0,1138.0,41569.0,64964.0,0.0
1.08,0.0,0.0,28433.0,54298.0,1084.0,40331.0,65432.0,0.0
1.12,0.0,0.0,26931.0,54963.0,804.0,36557.0,65064.0,0.0
1.16,0.0,0.0,24197.0,55619.0,771.0,31920.0,64447.0,0.0
1.2,0.0,0.0,23934.0,56267.0,1537.0,28665.0,64393.0,0.0
1.24,0.0,0.0,22932.0,56948.0,1965.0,25282.0,64261.0,0.0
1.28,0.0,0.0,23162.0,57581.0,2308.0,22654.0,64363.0,0.0
1.32,0.0,0.0,24624.0,58264.0,2868.0,19930.0,64412.0,0.0
1.36,0.0,0.0,26576.0,58917.0,3174.0,17587.0,64568.0,0.0
1.4,0.0,0.0,27542.0,59566.0,2870.0,14524.0,64444.0,0.0
1.44,0.0,0.0,29489.0,60214.0,2927.0,12442.0,64638.0,0.0
1.48,0.0,0.0,37574.0,60837.0,3045.0,10513.0,64798.0,0.0
1.52,0.0,0.0,45156.0,61518.0,3281.0,8478.0,64859.0,0.0
1.56,0.0,0.0,45126.0,62173.0,3135.0,5698.0,64500.0,0.0
1.6,0.0,0.0,47301.0,62823.0,3514.0,4164.0,64586.0,0.0
1.64,0.0,0.0,48739.0,63496.0,3739.0,2915.0,64618.0,0.0
1.68,0.0,0.0,51643.0,64123.0,3843.0,2870.0,64977.0,0.0
1.72,0.0,0.0,55522.0,64807.0,3462.0,2000.0,64868.0,0.0
