time_s,RequestScannerOn [unary],RecordScannerOn [unary],Periodicity [arbitrary unit],Phase [degree],Left-Right [millimeter],Ant.-Post. [millimeter],Head-Feet [millimeter],MarkerBlockFound [unary]
0.0,0.0,0.0,0.13309439142048,0.074409194311,-2.7973375060059,147.45703637633298,658.5411916542,-1.0
0.04,0.0,0.0,0.13520296334999998,0.1367887554745,-2.7440987212366004,147.48717587287697,658.34818128761,-1.0
0.08,0.0,0.0,0.13407617293896,0.19840174753,-2.732362961563,147.632222199995,658.51205801396,-1.0
0.12,0.0,0.0,0.13330833896688,0.2607813086935,-2.7365193764474003,147.74116392187798,658.35546469767,-1.0
0.16,0.0,0.0,0.1372116930912,0.3238316178265,-2.7462380524271,147.948059007529,658.47564096366,-1.0
0.2,0.0,0.0,0.13752310563095999,0.3868819269595,-2.7551621196789,148.14270992270897,658.37003151779,-1.0
0.24,0.0,0.0,0.13388362014719998,0.44926148812300004,-2.7339521790188,148.437825826369,658.50841630893,-1.0
0.28,0.0,0.0,0.13419503268695998,0.513844935472,-2.7012509736783,148.75115100919098,658.62130916486,-1.0
0.32,0.0,0.0,0.12625520152056,0.576511960051,-2.7070577297668,149.08080175264098,658.64315939504,-1.0
0.36,0.0,0.0,0.12621003481631998,0.6392748057685,-2.7844403951146,149.380940905725,658.55940017935,-1.0
0.4,0.0,0.0,0.12401350667327998,0.7024209360400001,-2.8272881426729004,149.77212645461898,658.59581722965,-1.0
0.44,0.0,0.0,0.1164468951156,0.7646088549265001,-2.8485592070813004,150.10146324497998,658.2680637769499,-1.0
0.48,0.0,0.0,0.12177656621591999,0.8275633429210001,-2.8690967865101,150.50175343345498,658.08962023048,-1.0
0.52,0.0,0.0,0.11600473685304,0.8900387252230001,-2.871113870204,150.980845847269,658.09690364054,-1.0
0.56,0.0,0.0,0.11524641166079999,0.9527057498020001,-2.8674464453060002,151.499182397208,658.20615479144,-1.0
0.6,0.0,0.0,0.10876617819984,1.015756058935,-2.8385349123601,152.11170487384697,658.4683575536,-1.0
0.64,0.0,0.0,0.10336281405575999,1.0779439778215,-2.7703208092573,152.788587733731,658.88351192702,-1.0
0.68,0.0,0.0,0.09939289847256,1.1411859292315,-2.7481328886244003,153.466412452882,659.25132413505,-1.0
0.72,0.0,0.0,0.09899828410919999,1.203948774949,-2.6740509056848003,154.104993035908,659.40063404128,-1.0
0.76,0.0,0.0,0.11218220735736,1.2669032629435002,-2.6672661696235003,154.699620186474,659.41155915637,-1.0
0.8,0.0,0.0,0.11285733072599999,1.3299535720765001,-2.6844419428958,155.282631072747,659.36057528595,-1.0
0.84,0.0,0.0,0.11031848650871999,1.3924289543785002,-2.7319962190732,155.84617686750198,659.30959141553,-1.0
0.88,0.0,0.0,0.11135018912136,1.4554792635115001,-2.7924476061419004,156.43421100319898,659.25132413505,-1.0
0.92,0.0,0.0,0.10132080358512,1.518050466952,-2.8390239023465003,157.026640482142,659.2331156099,-1.0
0.96,0.0,0.0,0.10199830414871999,1.5811007760850002,-2.8333393937546,157.71953494956497,659.46982643685,-1.0
1.0,0.0,0.0,0.10303000676136,1.6441510852180001,-2.793486709863,158.39578990327098,659.57543588272,-1.0
1.04,0.0,0.0,0.10513144710599999,1.7064348252430002,-2.7439153499917004,159.05101000001397,659.6337031631999,-1.0
1.08,0.0,0.0,0.10402605144959999,1.7681436384370002,-2.7269840717126,159.638416229533,659.4188425664299,-1.0
1.12,0.0,0.0,0.10683827308727999,1.8308106630160002,-2.7249669880187,160.30619444983597,659.7065372638,-1.0
1.16,0.0,0.0,0.09291504220656,1.8940526144260001,-2.7349301589916,160.98401916898698,659.95781491087,-1.0
1.2,0.0,0.0,0.09644042233224,1.9574862081130002,-2.7345634165018002,161.56734400834898,659.95053150081,-1.0
1.24,0.0,0.0,0.09925264396991999,2.0200574115535,-2.7581571833456002,162.13277352163797,659.97966514105,-1.0
1.28,0.0,0.0,0.10241906765664,2.0846408589025,-2.7807729702166,162.567912502992,659.57543588272,-1.0
1.32,0.0,0.0,0.10949122266264,2.1476911680355,-2.8038777470740004,163.046690963717,659.4516179116999,-1.0
1.36,0.0,0.0,0.11087475012935999,2.2091125178140003,-2.8140854130401003,163.50003922423298,659.24039901996,-1.0
1.4,0.0,0.0,0.11296668169415999,2.2724502903625003,-2.8321169187886004,163.895934069462,658.95270432259,-1.0
1.44,0.0,0.0,0.12251349665351999,2.3349256726645002,-2.8140854130401003,164.22809643762398,658.47928266869,-1.0
1.48,0.0,0.0,0.12531145512143999,2.3977843395205003,-2.7852350038425002,164.602328519712,658.23164672665,-1.0
1.52,0.0,0.0,0.1252662884172,2.460547185238,-2.7747217191349,165.001362895831,658.21707990653,-1.0
1.56,0.0,0.0,0.12486691966392,2.523214209817,-2.7742327291485003,165.42645537833698,658.34453958258,-1.0
1.6,0.0,0.0,0.1368788857968,2.58626451895,-2.7828511776588,165.72157128199697,658.1879462662899,-1.0
1.64,0.0,0.0,0.13647713984856,2.648548258975,-2.7804673514751004,165.999733718851,658.07141170533,-1.0
1.68,0.0,0.0,0.13642721875439998,2.7115027469695003,-2.7793671240057,166.38558206523197,658.4829243737199,-1.0
1.72,0.0,0.0,0.14027589739464,2.774265592687,-2.7866408500534003,166.59498877559497,658.35546469767,-1.0
1.76,0.0,0.0,0.1430595926928,2.8370284384045004,-2.7863963550602002,166.82700010836598,658.43558220833,-1.0
1.8,0.0,0.0,0.13982185315728,2.9001745686760003,-2.7908583886861003,166.98617432448899,658.42829879827,-1.0
1.84,0.0,0.0,0.13942010720904,2.962458308701,-2.7948925560739,167.09731371799498,658.3591064027,-1.0
1.88,0.0,0.0,0.14219904811727999,3.0254127966955,-2.8037554995774,167.13122065160698,658.18430456126,-1.0
1.92,0.0,0.0,0.14285753112119998,3.0880798212745004,-2.8082786569516003,167.120232293492,657.9985776047299,-1.0
1.96,0.0,0.0,0.13927272112151998,3.1509384881305,-2.8103568643938,167.13781366647598,658.00586101479,-1.0
2.0,0.0,0.0,0.13886859797832,3.2140846184020004,-2.8188530654075,167.10610440448698,658.00586101479,-1.0
2.04,0.0,0.0,0.14129333683752,3.2764641795655,-2.8146355267748002,167.040488208886,657.9949358997,-1.0
2.08,0.0,0.0,0.139125335034,3.337885529344,-2.8160413729857003,167.016627774122,658.2862723021,-1.0
2.12,0.0,0.0,0.13766336013359998,3.400552553923,-2.8052224695366004,166.988371996112,658.6868598553999,-1.0
2.16,0.0,0.0,0.13831946594255998,3.463411220779,-2.7999047034345,166.80816292302598,658.63951769001,-1.0
2.2,0.0,0.0,0.13650804338303998,3.5266531721890004,-2.7964206497814,166.57332601245398,658.61038404977,-1.0
2.24,0.0,0.0,0.13575447258072,3.5891285544910003,-2.7934255861147004,166.25780315800898,658.3591064027,-1.0
2.28,0.0,0.0,0.13429725207024,3.6536161807015004,-2.7923864823936,165.949187271522,658.34089787755,-1.0
2.32,0.0,0.0,0.12790735201776,3.7165706686960003,-2.7891469237337003,165.616396997182,658.30812253228,-1.0
2.36,0.0,0.0,0.12610068384815998,3.7794293355520003,-2.7933033386181,165.243106774361,658.2462135467699,-1.0
2.4,0.0,0.0,0.12570369228984,3.8427671081005004,-2.7856017463323,164.88928164305798,658.395523453,-1.0
2.44,0.0,0.0,0.11756417674679999,3.9052424904025003,-2.7946480610807,164.50406120285498,658.49020778378,-1.0
2.48,0.0,0.0,0.11893106384879999,3.9683886206740002,-2.8349897349587003,164.03784086569,658.50841630893,-1.0
2.52,0.0,0.0,0.11537002579872,4.0306723606990005,-2.8401852535642003,163.671771563916,658.8689451069,-1.0
2.56,0.0,0.0,0.11568143833847999,4.0938184909705,-2.8241097077613,163.228783755337,659.0510303584,-1.0
2.6,0.0,0.0,0.10790801081927999,4.156581336688,-2.8117015868564,162.836656347176,659.48439325697,-1.0
2.64,0.0,0.0,0.10541195611127999,4.2187692555745,-2.7999658271828003,162.366982526032,659.6774036235599,-1.0
2.68,0.0,0.0,0.10045550461967999,4.281915385846,-2.7676313643321,161.83577389944398,659.75387942919,-1.0
2.72,0.0,0.0,0.09691110693432,4.3435283779015,-2.7491719923455,161.33910011264598,659.94688979578,-1.0
2.76,0.0,0.0,0.09582235164264,4.406674508173,-2.7429373700189004,160.728461354541,659.8813391052399,-1.0
2.8,0.0,0.0,0.1557894717036,4.469341532752,-2.7404312963386004,160.09867145800698,659.77208795434,-1.0
2.84,0.0,0.0,0.15363097867991998,4.531625272777,-2.7315072290868003,159.503102448174,659.8485637599699,-1.0
2.88,0.0,0.0,0.15252558302351998,4.5953463298795,-2.7663477656178004,158.76374292357897,659.49531837206,-1.0
2.92,0.0,0.0,0.15212145988032,4.657150964212001,-2.8157968779925002,158.08309262662698,659.36057528595,-1.0
2.96,0.0,0.0,0.15101606422392,4.7208720213145,-2.8385960361084,157.43383763857497,659.35329187589,-1.0
3.0,0.0,0.0,0.14851050073608,4.783251582478,-2.8310778150675002,156.867780219108,659.50260178212,-1.0
3.04,0.0,0.0,0.14425769895263998,4.845535322503,-2.8131685568156,156.27189725618598,659.58636099781,-1.0
3.08,0.0,0.0,0.14595739334903998,4.907531599112501,-2.7731325016791004,155.657805014102,659.53173542236,-1.0
3.12,0.0,0.0,0.14485675208256,4.968952948891,-2.7155539307805,155.103677812017,659.62641975314,-1.0
3.16,0.0,0.0,0.14550572630664,5.0326740059935,-2.7062631210389,154.49241114773397,659.57543588272,-1.0
