time_s,RequestScannerOn_raw,RecordScannerOn_raw,Periodicity_raw,Phase_raw,Left-Right_raw,Ant.-Post._raw,Head-Feet_raw,MarkerBlockFound_raw
0.0,0.0,0.0,55988.0,782.0,1327.0,397.0,65140.0,0.0
0.04,0.0,0.0,56875.0,1433.0,2198.0,493.0,65087.0,0.0
0.08,0.0,0.0,56401.0,2076.0,2390.0,955.0,65132.0,0.0
0.12,0.0,0.0,56078.0,2727.0,2322.0,1302.0,65089.0,0.0
0.16,0.0,0.0,57720.0,3385.0,2163.0,1961.0,65122.0,0.0
0.2,0.0,0.0,57851.0,4043.0,2017.0,2581.0,65093.0,0.0
0.24,0.0,0.0,56320.0,4694.0,2364.0,3521.0,65131.0,0.0
0.28,0.0,0.0,56451.0,5368.0,2899.0,4519.0,65162.0,0.0
0.32,0.0,0.0,53111.0,6022.0,2804.0,5569.0,65168.0,0.0
0.36,0.0,0.0,53092.0,6677.0,1538.0,6525.0,65145.0,0.0
0.4,0.0,0.0,52168.0,7336.0,837.0,7771.0,65155.0,0.0
0.44,0.0,0.0,48985.0,7985.0,489.0,8820.0,65065.0,0.0
0.48,0.0,0.0,51227.0,8642.0,153.0,10095.0,65016.0,0.0
0.52,0.0,0.0,48799.0,9294.0,120.0,11621.0,65018.0,0.0
0.56,0.0,0.0,48480.0,9948.0,180.0,13272.0,65048.0,0.0
0.6,0.0,0.0,45754.0,10606.0,653.0,15223.0,65120.0,0.0
0.64,0.0,0.0,43481.0,11255.0,1769.0,17379.0,65234.0,0.0
0.68,0.0,0.0,41811.0,11915.0,2132.0,19538.0,65335.0,0.0
0.72,0.0,0.0,41645.0,12570.0,3344.0,21572.0,65376.0,0.0
0.76,0.0,0.0,47191.0,13227.0,3455.0,23466.0,65379.0,0.0
0.8,0.0,0.0,47475.0,13885.0,3174.0,25323.0,65365.0,0.0
0.84,0.0,0.0,46407.0,14537.0,2396.0,27118.0,65351.0,0.0
0.88,0.0,0.0,46841.0,15195.0,1407.0,28991.0,65335.0,0.0
0.92,0.0,0.0,42622.0,15848.0,645.0,30878.0,65330.0,0.0
0.96,0.0,0.0,42907.0,16506.0,738.0,33085.0,65395.0,0.0
1.0,0.0,0.0,43341.0,17164.0,1390.0,35239.0,65424.0,0.0
1.04,0.0,0.0,44225.0,17814.0,2201.0,37326.0,65440.0,0.0
1.08,0.0,0.0,43760.0,18458.0,2478.0,39197.0,65381.0,0.0
1.12,0.0,0.0,44943.0,19112.0,2511.0,41324.0,65460.0,0.0
1.16,0.0,0.0,39086.0,19772.0,2348.0,43483.0,65529.0,0.0
1.2,0.0,0.0,40569.0,20434.0,2354.0,45341.0,65527.0,0.0
1.24,0.0,0.0,41752.0,21087.0,1968.0,47142.0,65535.0,0.0
1.28,0.0,0.0,43084.0,21761.0,1598.0,48528.0,65424.0,0.0
1.32,0.0,0.0,46059.0,22419.0,1220.0,50053.0,65390.0,0.0
1.36,0.0,0.0,46641.0,23060.0,1053.0,51497.0,65332.0,0.0
1.4,0.0,0.0,47521.0,23721.0,758.0,52758.0,65253.0,0.0
1.44,0.0,0.0,51537.0,24373.0,1053.0,53816.0,65123.0,0.0
1.48,0.0,0.0,52714.0,25029.0,1525.0,55008.0,65055.0,0.0
1.52,0.0,0.0,52695.0,25684.0,1697.0,56279.0,65051.0,0.0
1.56,0.0,0.0,52527.0,26338.0,1705.0,57633.0,65086.0,0.0
1.6,0.0,0.0,57580.0,26996.0,1564.0,58573.0,65043.0,0.0
1.64,0.0,0.0,57411.0,27646.0,1603.0,59459.0,65011.0,0.0
1.68,0.0,0.0,57390.0,28303.0,1621.0,60688.0,65124.0,0.0
1.72,0.0,0.0,59009.0,28958.0,1502.0,61355.0,65089.0,0.0
1.76,0.0,0.0,60180.0,29613.0,1506.0,62094.0,65111.0,0.0
1.8,0.0,0.0,58818.0,30272.0,1433.0,62601.0,65109.0,0.0
1.84,0.0,0.0,58649.0,30922.0,1367.0,62955.0,65090.0,0.0
1.88,0.0,0.0,59818.0,31579.0,1222.0,63063.0,65042.0,0.0
1.92,0.0,0.0,60095.0,32233.0,1148.0,63028.0,64991.0,0.0
